"","Date_reported","Country","New_cases"
"31875","05/11/2020","Germany","19990"
"31876","06/11/2020","Germany","21506"
"31877","07/11/2020","Germany","23399"
"31878","08/11/2020","Germany","16017"
"31879","09/11/2020","Germany","13363"
"54691","03/01/2020","Netherlands","0"
"54692","04/01/2020","Netherlands","0"
"54693","05/01/2020","Netherlands","0"
"54694","06/01/2020","Netherlands","0"
"54695","07/01/2020","Netherlands","0"
"54696","08/01/2020","Netherlands","0"
"54697","09/01/2020","Netherlands","0"
"54698","10/01/2020","Netherlands","0"
"54699","11/01/2020","Netherlands","0"
"54700","12/01/2020","Netherlands","0"
"54701","13/01/2020","Netherlands","0"
"54702","14/01/2020","Netherlands","0"
"54703","15/01/2020","Netherlands","0"
"54704","16/01/2020","Netherlands","0"
"54705","17/01/2020","Netherlands","0"
"54706","18/01/2020","Netherlands","0"
"54707","19/01/2020","Netherlands","0"
"54708","20/01/2020","Netherlands","0"
"54709","21/01/2020","Netherlands","0"
"54710","22/01/2020","Netherlands","0"
"54711","23/01/2020","Netherlands","0"
"54712","24/01/2020","Netherlands","0"
"54713","25/01/2020","Netherlands","0"
"54714","26/01/2020","Netherlands","0"
"54715","27/01/2020","Netherlands","0"
"54716","28/01/2020","Netherlands","0"
"54717","29/01/2020","Netherlands","0"
"54718","30/01/2020","Netherlands","0"
"54719","31/01/2020","Netherlands","0"
"54720","01/02/2020","Netherlands","0"
"54721","02/02/2020","Netherlands","0"
"54722","03/02/2020","Netherlands","0"
"54723","04/02/2020","Netherlands","0"
"54724","05/02/2020","Netherlands","0"
"54725","06/02/2020","Netherlands","0"
"54726","07/02/2020","Netherlands","0"
"54727","08/02/2020","Netherlands","0"
"54728","09/02/2020","Netherlands","0"
"54729","10/02/2020","Netherlands","0"
"54730","11/02/2020","Netherlands","0"
"54731","12/02/2020","Netherlands","0"
"54732","13/02/2020","Netherlands","0"
"54733","14/02/2020","Netherlands","0"
"54734","15/02/2020","Netherlands","0"
"54735","16/02/2020","Netherlands","0"
"54736","17/02/2020","Netherlands","0"
"54737","18/02/2020","Netherlands","0"
"54738","19/02/2020","Netherlands","0"
"54739","20/02/2020","Netherlands","0"
"54740","21/02/2020","Netherlands","0"
"54741","22/02/2020","Netherlands","0"
"54742","23/02/2020","Netherlands","0"
"54743","24/02/2020","Netherlands","0"
"54744","25/02/2020","Netherlands","0"
"54745","26/02/2020","Netherlands","0"
"54746","27/02/2020","Netherlands","0"
"54747","28/02/2020","Netherlands","1"
"54748","29/02/2020","Netherlands","1"
"54749","01/03/2020","Netherlands","5"
"54750","02/03/2020","Netherlands","6"
"54751","03/03/2020","Netherlands","5"
"54752","04/03/2020","Netherlands","10"
"54753","05/03/2020","Netherlands","10"
"54754","06/03/2020","Netherlands","44"
"54755","07/03/2020","Netherlands","46"
"54756","08/03/2020","Netherlands","60"
"54757","09/03/2020","Netherlands","77"
"54758","10/03/2020","Netherlands","56"
"54759","11/03/2020","Netherlands","61"
"54760","12/03/2020","Netherlands","121"
"54761","13/03/2020","Netherlands","111"
"54762","14/03/2020","Netherlands","190"
"54763","15/03/2020","Netherlands","155"
"54764","16/03/2020","Netherlands","176"
"54765","17/03/2020","Netherlands","278"
"54766","18/03/2020","Netherlands","292"
"54767","19/03/2020","Netherlands","346"
"54768","20/03/2020","Netherlands","409"
"54769","21/03/2020","Netherlands","534"
"54770","22/03/2020","Netherlands","637"
"54771","23/03/2020","Netherlands","573"
"54772","24/03/2020","Netherlands","545"
"54773","25/03/2020","Netherlands","811"
"54774","26/03/2020","Netherlands","852"
"54775","27/03/2020","Netherlands","1019"
"54776","28/03/2020","Netherlands","1172"
"54777","29/03/2020","Netherlands","1159"
"54778","30/03/2020","Netherlands","1104"
"54779","31/03/2020","Netherlands","884"
"54780","01/04/2020","Netherlands","845"
"54781","02/04/2020","Netherlands","1019"
"54782","03/04/2020","Netherlands","1083"
"54783","04/04/2020","Netherlands","1026"
"54784","05/04/2020","Netherlands","904"
"54785","06/04/2020","Netherlands","1224"
"54786","07/04/2020","Netherlands","952"
"54787","08/04/2020","Netherlands","777"
"54788","09/04/2020","Netherlands","969"
"54789","10/04/2020","Netherlands","1213"
"54790","11/04/2020","Netherlands","1335"
"54791","12/04/2020","Netherlands","1316"
"54792","13/04/2020","Netherlands","1174"
"54793","14/04/2020","Netherlands","964"
"54794","15/04/2020","Netherlands","868"
"54795","16/04/2020","Netherlands","734"
"54796","17/04/2020","Netherlands","1061"
"54797","18/04/2020","Netherlands","1235"
"54798","19/04/2020","Netherlands","1140"
"54799","20/04/2020","Netherlands","1066"
"54800","21/04/2020","Netherlands","750"
"54801","22/04/2020","Netherlands","729"
"54802","23/04/2020","Netherlands","708"
"54803","24/04/2020","Netherlands","887"
